timestamp,users,changesets,map_changes,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,editors
2023-06-07,2.0,11.0,704.0,590.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,"{""id"": 704}"
2023-06-09,2.0,2.0,174.0,108.0,39.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,"{""id"": 174}"
2023-06-11,2.0,29.0,2438.0,1832.0,228.0,10.0,361.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,360.0,2.0,1.0,3.0,"{""id"": 2166, ""josm"": 272}"
2023-06-12,1.0,3.0,340.0,38.0,179.0,109.0,3.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,"{""josm"": 340}"
2023-06-13,41.0,397.0,31098.0,20787.0,2522.0,2819.0,4209.0,109.0,651.0,1.0,0.0,0.0,0.0,2.0,4082.0,75.0,0.0,15.0,"{""id"": 30606, ""josm"": 492}"
2023-06-14,3.0,8.0,672.0,517.0,36.0,8.0,109.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,"{""id"": 672}"
2023-06-15,1.0,1.0,80.0,72.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,"{""josm"": 80}"
2023-06-16,39.0,790.0,26868.0,20288.0,796.0,998.0,4449.0,104.0,231.0,2.0,0.0,0.0,0.0,3.0,4447.0,67.0,0.0,25.0,"{""id"": 26868}"
2023-06-18,1.0,13.0,926.0,85.0,150.0,630.0,10.0,24.0,27.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,16.0,"{""josm"": 926}"
2023-06-20,88.0,1169.0,43451.0,31582.0,2004.0,1809.0,7483.0,197.0,376.0,0.0,0.0,0.0,0.0,2.0,7452.0,25.0,15.0,78.0,"{""id"": 39625, ""josm"": 3826}"
2023-06-21,5.0,49.0,6253.0,4866.0,21.0,237.0,1072.0,26.0,31.0,0.0,0.0,0.0,0.0,0.0,1072.0,16.0,0.0,3.0,"{""id"": 6253}"
2023-06-22,5.0,41.0,4670.0,3665.0,35.0,60.0,886.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,886.0,3.0,0.0,3.0,"{""id"": 4670}"
2023-06-23,3.0,97.0,8253.0,6600.0,5.0,51.0,1568.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0,1568.0,2.0,0.0,11.0,"{""id"": 8253}"
2023-06-24,4.0,142.0,3444.0,2746.0,58.0,4.0,628.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,628.0,0.0,0.0,5.0,"{""id"": 3444}"
2023-06-25,4.0,20.0,2838.0,1936.0,257.0,169.0,410.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,408.0,12.0,2.0,21.0,"{""id"": 2387, ""josm"": 451}"
2023-06-26,1.0,3.0,115.0,92.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,"{""id"": 115}"
2023-06-27,2.0,7.0,975.0,570.0,2.0,304.0,61.0,5.0,33.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,"{""id"": 975}"
2023-06-28,4.0,19.0,2253.0,1811.0,9.0,44.0,376.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,376.0,1.0,0.0,2.0,"{""id"": 2253}"
2023-06-29,4.0,38.0,3113.0,2479.0,0.0,138.0,464.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,464.0,0.0,0.0,1.0,"{""id"": 3113}"
2023-06-30,2.0,32.0,5964.0,4745.0,36.0,0.0,1176.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1176.0,1.0,0.0,2.0,"{""id"": 5964}"
